created,favorite_count,full_text,retweet_count,tweet_id,timestamp,expanded_urls,rating_numerator,rating_denominator,name,dog_stage,jpg_url,p1_dog,breed,confidence_level
2017-07-31 00:18:03,25461,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,4328,891815181378084864,2017-07-31 00:18:03,https://twitter.com/dog_rates/status/891815181378084864/photo/1,12,10,Archie,None,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,True,Chihuahua,71.6
2017-07-29 16:00:24,41048,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",9774,891327558926688256,2017-07-29 16:00:24,"https://twitter.com/dog_rates/status/891327558926688256/photo/1,https://twitter.com/dog_rates/status/891327558926688256/photo/1",12,10,Franklin,None,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,True,basset,55.57
2017-07-26 15:59:51,32467,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,7711,890240255349198849,2017-07-26 15:59:51,https://twitter.com/dog_rates/status/890240255349198849/photo/1,14,10,Cassie,doggoNoneNoneNone,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,True,Pembroke,51.13
2017-07-26 00:31:25,31166,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,7624,890006608113172480,2017-07-26 00:31:25,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13,10,Koda,None,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,True,Samoyed,95.8
2017-07-25 00:10:02,27672,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,4735,889638837579907072,2017-07-25 00:10:02,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12,10,Ted,None,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,True,French_bulldog,99.16
2017-07-24 00:19:32,25652,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,5637,889278841981685760,2017-07-24 00:19:32,https://twitter.com/dog_rates/status/889278841981685760/video/1,13,10,Oliver,None,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,True,whippet,62.62
2017-07-23 00:22:39,29611,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,4709,888917238123831296,2017-07-23 00:22:39,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12,10,Jim,None,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,True,golden_retriever,71.47
2017-07-22 00:23:06,20290,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,3732,888554962724278272,2017-07-22 00:23:06,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",13,10,Ralphus,None,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,True,Siberian_husky,70.04
2017-07-20 16:49:33,22201,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,3653,888078434458587136,2017-07-20 16:49:33,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",12,10,Gerald,None,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,True,French_bulldog,99.5
2017-07-19 16:06:48,30779,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,5609,887705289381826560,2017-07-19 16:06:48,https://twitter.com/dog_rates/status/887705289381826560/photo/1,13,10,Jeffrey,None,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,True,basset,82.17
